listing_id,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,neighbourhood_name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_history,available_rate_history,avg_minimum_nights_calendar_history,avg_maximum_nights_calendar_history,available_days_last_30d,available_rate_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version,has_reviews
1374075585375352949,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,270.0,1,5,False,False,1,Centrum-Oost,9.0,9.0,176.88888888888889,459.0,345.0,24,0.26373626373626374,1.0,5.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1374502264196987172,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,216.0,3,30,False,False,1,Oostelijk Havengebied - Indische Buurt,0.0,0.0,,,424.0,0,0.0,3.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1374556759476632890,Entire home/apt,Entire home,4,2.0,4.0,1.0,190.0,2,365,False,False,1,Noord-Oost,3.0,3.0,217.66666666666666,354.0,355.0,0,0.0,2.857142857142857,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1374558251235767286,Entire home/apt,Entire rental unit,2,1.0,,1.0,,1,365,False,False,1,De Pijp - Rivierenbuurt,0.0,0.0,,,424.0,91,1.0,1.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1374583330165377242,Entire home/apt,Entire home,4,2.0,3.0,2.0,168.0,2,365,False,False,1,Noord-West,0.0,0.0,,,424.0,0,0.0,2.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1374620103277025125,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,288.0,1,365,False,False,1,Westerpark,2.0,2.0,366.0,619.0,354.0,91,1.0,1.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1374726014809639332,Entire home/apt,Entire condo,4,2.0,2.0,1.0,288.0,3,3,False,False,1,Slotervaart,7.0,7.0,515.5714285714286,985.0,353.0,91,1.0,3.0,3.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1375172259794662906,Entire home/apt,Entire rental unit,6,4.0,,1.0,,2,30,True,False,1,Oud-Noord,0.0,0.0,,,424.0,0,0.0,2.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1375267449659458242,Entire home/apt,Entire condo,3,2.0,2.0,2.0,375.0,3,14,False,False,1,Oud-Oost,3.0,3.0,231.66666666666666,262.0,426.0,26,0.2857142857142857,3.0,14.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1375309339247955088,Entire home/apt,Entire condo,2,1.0,,1.0,,2,30,True,False,1,Westerpark,2.0,2.0,99.5,183.0,464.0,0,0.0,2.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1375422169239182900,Entire home/apt,Entire home,4,2.0,2.0,1.5,154.0,2,365,True,True,1,De Baarsjes - Oud-West,6.0,6.0,375.8333333333333,662.0,357.0,0,0.0,2.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1375451893621300785,Entire home/apt,Entire condo,5,2.0,2.0,2.5,350.0,2,365,False,False,1,Watergraafsmeer,2.0,2.0,280.0,415.0,410.0,91,1.0,2.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1375468320319586238,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,161.0,2,30,False,False,1,Noord-Oost,5.0,5.0,394.0,957.0,352.0,26,0.2857142857142857,2.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1375995077310375605,Entire home/apt,Entire rental unit,3,2.0,2.0,1.5,216.0,2,365,False,False,1,Oud-Noord,0.0,0.0,,,424.0,0,0.0,2.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1376010274828848841,Entire home/apt,Entire rental unit,4,2.0,,1.5,,3,20,True,False,1,Oostelijk Havengebied - Indische Buurt,6.0,6.0,243.83333333333334,574.0,353.0,0,0.0,3.0,20.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1376023709702755309,Entire home/apt,Entire home,4,3.0,,1.5,,3,30,False,False,1,Oud-Noord,3.0,3.0,311.0,426.0,366.0,0,0.0,3.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1376209266305993207,Entire home/apt,Entire rental unit,4,2.0,2.0,1.5,297.0,3,14,False,False,1,De Baarsjes - Oud-West,1.0,1.0,60.0,60.0,471.0,0,0.0,3.0,14.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1376287696249797306,Private room,Private room in boat,6,2.0,6.0,1.5,300.0,1,100,False,False,2,Oud-Noord,1.0,1.0,71.0,71.0,397.0,91,1.0,1.0,100.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1376682544367201318,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,375.0,2,7,False,False,1,De Baarsjes - Oud-West,4.0,4.0,261.0,452.0,339.0,91,1.0,2.0,7.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1376750200652354389,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,301.0,3,30,False,False,1,Westerpark,2.0,2.0,390.5,716.0,475.0,0,0.0,3.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1376986597744376980,Entire home/apt,Houseboat,2,1.0,2.0,1.0,120.0,2,90,False,False,1,Oostelijk Havengebied - Indische Buurt,10.0,10.0,256.1,870.0,337.0,0,0.0,2.0,90.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1377649105242349387,Entire home/apt,Entire place,4,1.0,1.0,1.0,208.0,2,90,False,True,1,IJburg - Zeeburgereiland,16.0,16.0,357.4375,1019.0,348.0,36,0.3956043956043956,2.0,1049.4505494505495,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1378097281393366810,Entire home/apt,Entire rental unit,4,2.0,,1.0,,3,365,False,False,1,De Baarsjes - Oud-West,5.0,5.0,181.2,307.0,340.0,91,1.0,3.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1378117646137329011,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,257.0,1,30,False,False,1,De Pijp - Rivierenbuurt,0.0,0.0,,,424.0,91,1.0,1.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1378158002336457754,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,250.0,2,7,False,False,1,De Baarsjes - Oud-West,1.0,1.0,289.0,289.0,485.0,91,1.0,2.0,7.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
